id,pwa_url,paper_url
150707,"https://programs.sigchi.org/chi/2024/program/content/150707","https://doi.org/10.1145/3613905.3650824"
150709,"https://programs.sigchi.org/chi/2024/program/content/150709","https://doi.org/10.1145/3613905.3650807"
150711,"https://programs.sigchi.org/chi/2024/program/content/150711","https://doi.org/10.1145/3613905.3650815"
150715,"https://programs.sigchi.org/chi/2024/program/content/150715","https://doi.org/10.1145/3613905.3650953"
150716,"https://programs.sigchi.org/chi/2024/program/content/150716","https://doi.org/10.1145/3613905.3651019"
150717,"https://programs.sigchi.org/chi/2024/program/content/150717","https://doi.org/10.1145/3613905.3650795"
150718,"https://programs.sigchi.org/chi/2024/program/content/150718","https://doi.org/10.1145/3613905.3650898"
150719,"https://programs.sigchi.org/chi/2024/program/content/150719","https://doi.org/10.1145/3613905.3650753"
150720,"https://programs.sigchi.org/chi/2024/program/content/150720","https://doi.org/10.1145/3613905.3650992"
150722,"https://programs.sigchi.org/chi/2024/program/content/150722","https://doi.org/10.1145/3613905.3650784"
150723,"https://programs.sigchi.org/chi/2024/program/content/150723","https://doi.org/10.1145/3613905.3652036"
150724,"https://programs.sigchi.org/chi/2024/program/content/150724","https://doi.org/10.1145/3613905.3650746"
150729,"https://programs.sigchi.org/chi/2024/program/content/150729","https://doi.org/10.1145/3613905.3650738"
150731,"https://programs.sigchi.org/chi/2024/program/content/150731","https://doi.org/10.1145/3613905.3651036"
150732,"https://programs.sigchi.org/chi/2024/program/content/150732","https://doi.org/10.1145/3613905.3650955"
150734,"https://programs.sigchi.org/chi/2024/program/content/150734","https://doi.org/10.1145/3613905.3650910"
150735,"https://programs.sigchi.org/chi/2024/program/content/150735","https://doi.org/10.1145/3613905.3650749"
150737,"https://programs.sigchi.org/chi/2024/program/content/150737","https://doi.org/10.1145/3613905.3650849"
150738,"https://programs.sigchi.org/chi/2024/program/content/150738","https://doi.org/10.1145/3613905.3651075"
150740,"https://programs.sigchi.org/chi/2024/program/content/150740","https://doi.org/10.1145/3613905.3650999"
150744,"https://programs.sigchi.org/chi/2024/program/content/150744","https://doi.org/10.1145/3613905.3651044"
150745,"https://programs.sigchi.org/chi/2024/program/content/150745","https://doi.org/10.1145/3613905.3650993"
150749,"https://programs.sigchi.org/chi/2024/program/content/150749","https://doi.org/10.1145/3613905.3650777"
150751,"https://programs.sigchi.org/chi/2024/program/content/150751","https://doi.org/10.1145/3613905.3651111"
150758,"https://programs.sigchi.org/chi/2024/program/content/150758","https://doi.org/10.1145/3613905.3650839"
150759,"https://programs.sigchi.org/chi/2024/program/content/150759","https://doi.org/10.1145/3613905.3651018"
150761,"https://programs.sigchi.org/chi/2024/program/content/150761","https://doi.org/10.1145/3613905.3651065"
150762,"https://programs.sigchi.org/chi/2024/program/content/150762","https://doi.org/10.1145/3613905.3650850"
150763,"https://programs.sigchi.org/chi/2024/program/content/150763","https://doi.org/10.1145/3613905.3650909"
150764,"https://programs.sigchi.org/chi/2024/program/content/150764","https://doi.org/10.1145/3613905.3650802"
150765,"https://programs.sigchi.org/chi/2024/program/content/150765","https://doi.org/10.1145/3613905.3650911"
150766,"https://programs.sigchi.org/chi/2024/program/content/150766","https://doi.org/10.1145/3613905.3650788"
150767,"https://programs.sigchi.org/chi/2024/program/content/150767","https://doi.org/10.1145/3613905.3650994"
150769,"https://programs.sigchi.org/chi/2024/program/content/150769","https://doi.org/10.1145/3613905.3651100"
150777,"https://programs.sigchi.org/chi/2024/program/content/150777","https://doi.org/10.1145/3613905.3651021"
150778,"https://programs.sigchi.org/chi/2024/program/content/150778","https://doi.org/10.1145/3613905.3650874"
150780,"https://programs.sigchi.org/chi/2024/program/content/150780","https://doi.org/10.1145/3613905.3651005"
150781,"https://programs.sigchi.org/chi/2024/program/content/150781","https://doi.org/10.1145/3613905.3650840"
150782,"https://programs.sigchi.org/chi/2024/program/content/150782","https://doi.org/10.1145/3613905.3651031"
150783,"https://programs.sigchi.org/chi/2024/program/content/150783","https://doi.org/10.1145/3613905.3650963"
150784,"https://programs.sigchi.org/chi/2024/program/content/150784","https://doi.org/10.1145/3613905.3650964"
150785,"https://programs.sigchi.org/chi/2024/program/content/150785","https://doi.org/10.1145/3613905.3650880"
150786,"https://programs.sigchi.org/chi/2024/program/content/150786","https://doi.org/10.1145/3613905.3651025"
150787,"https://programs.sigchi.org/chi/2024/program/content/150787","https://doi.org/10.1145/3613905.3650940"
150789,"https://programs.sigchi.org/chi/2024/program/content/150789","https://doi.org/10.1145/3613905.3650864"
150790,"https://programs.sigchi.org/chi/2024/program/content/150790","https://doi.org/10.1145/3613905.3650787"
150791,"https://programs.sigchi.org/chi/2024/program/content/150791","https://doi.org/10.1145/3613905.3650885"
150794,"https://programs.sigchi.org/chi/2024/program/content/150794","https://doi.org/10.1145/3613905.3651996"
150795,"https://programs.sigchi.org/chi/2024/program/content/150795","https://doi.org/10.1145/3613905.3650884"
150796,"https://programs.sigchi.org/chi/2024/program/content/150796","https://doi.org/10.1145/3613905.3650879"
150800,"https://programs.sigchi.org/chi/2024/program/content/150800","https://doi.org/10.1145/3613905.3651098"
150801,"https://programs.sigchi.org/chi/2024/program/content/150801","https://doi.org/10.1145/3613905.3650890"
150802,"https://programs.sigchi.org/chi/2024/program/content/150802","https://doi.org/10.1145/3613905.3651106"
150803,"https://programs.sigchi.org/chi/2024/program/content/150803","https://doi.org/10.1145/3613905.3650804"
150804,"https://programs.sigchi.org/chi/2024/program/content/150804","https://doi.org/10.1145/3613905.3650970"
150805,"https://programs.sigchi.org/chi/2024/program/content/150805","https://doi.org/10.1145/3613905.3650860"
150806,"https://programs.sigchi.org/chi/2024/program/content/150806","https://doi.org/10.1145/3613905.3650950"
150810,"https://programs.sigchi.org/chi/2024/program/content/150810","https://doi.org/10.1145/3613905.3650865"
150811,"https://programs.sigchi.org/chi/2024/program/content/150811","https://doi.org/10.1145/3613905.3651118"
150812,"https://programs.sigchi.org/chi/2024/program/content/150812","https://doi.org/10.1145/3613905.3650827"
150813,"https://programs.sigchi.org/chi/2024/program/content/150813","https://doi.org/10.1145/3613905.3651000"
150814,"https://programs.sigchi.org/chi/2024/program/content/150814","https://doi.org/10.1145/3613905.3650785"
150816,"https://programs.sigchi.org/chi/2024/program/content/150816","https://doi.org/10.1145/3613905.3650881"
150817,"https://programs.sigchi.org/chi/2024/program/content/150817","https://doi.org/10.1145/3613905.3651115"
150821,"https://programs.sigchi.org/chi/2024/program/content/150821","https://doi.org/10.1145/3613905.3650752"
150822,"https://programs.sigchi.org/chi/2024/program/content/150822","https://doi.org/10.1145/3613905.3650891"
150824,"https://programs.sigchi.org/chi/2024/program/content/150824","https://doi.org/10.1145/3613905.3651107"
150826,"https://programs.sigchi.org/chi/2024/program/content/150826","https://doi.org/10.1145/3613905.3650763"
150828,"https://programs.sigchi.org/chi/2024/program/content/150828","https://doi.org/10.1145/3613905.3651033"
150830,"https://programs.sigchi.org/chi/2024/program/content/150830","https://doi.org/10.1145/3613905.3651114"
150831,"https://programs.sigchi.org/chi/2024/program/content/150831","https://doi.org/10.1145/3613905.3651047"
150832,"https://programs.sigchi.org/chi/2024/program/content/150832","https://doi.org/10.1145/3613905.3650916"
150833,"https://programs.sigchi.org/chi/2024/program/content/150833","https://doi.org/10.1145/3613905.3650946"
150834,"https://programs.sigchi.org/chi/2024/program/content/150834","https://doi.org/10.1145/3613905.3651110"
150835,"https://programs.sigchi.org/chi/2024/program/content/150835","https://doi.org/10.1145/3613905.3650844"
150836,"https://programs.sigchi.org/chi/2024/program/content/150836","https://doi.org/10.1145/3613905.3650889"
150837,"https://programs.sigchi.org/chi/2024/program/content/150837","https://doi.org/10.1145/3613905.3650997"
150838,"https://programs.sigchi.org/chi/2024/program/content/150838","https://doi.org/10.1145/3613905.3650908"
150839,"https://programs.sigchi.org/chi/2024/program/content/150839","https://doi.org/10.1145/3613905.3650762"
